央视频道,#genre#
CCTV10 科教,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225777/index.m3u8$陕西移动


CCTV11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$黑龙江移动
CCTV11 戏曲,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8$黑龙江鸡西移动
CCTV11 戏曲,http://39.134.66.2/PLTV/88888888/224/3221225517/index.m3u8$黑龙江鸡西移动
CCTV11 戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8$陕西移动
CCTV11 戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8$陕西移动
CCTV11 戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225776/index.m3u8$陕西移动



CCTV12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$黑龙江移动
CCTV12 社会与法,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8$黑龙江鸡西移动
CCTV12 社会与法,http://39.134.66.2/PLTV/88888888/224/3221225669/index.m3u8$黑龙江鸡西移动
CCTV12 社会与法,http://tvphp1.rbq.plus/migu.php?id=cctv12
CCTV12 社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8$陕西移动
CCTV12 社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8$陕西移动
CCTV12 社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225775/index.m3u8$陕西移动



CCTV13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8$黑龙江移动
CCTV13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8$黑龙江移动
CCTV13 新闻,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8$黑龙江鸡西移动
CCTV13 新闻,http://39.134.66.2/PLTV/88888888/224/3221225812/index.m3u8$黑龙江鸡西移动
CCTV13 新闻,http://tvphp1.rbq.plus/migu.php?id=cctv13
CCTV13 新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8$陕西移动
CCTV13 新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225774/index.m3u8$陕西移动


CCTV14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$黑龙江移动
CCTV14 少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8$黑龙江鸡西移动
CCTV14 少儿,http://39.134.66.2/PLTV/88888888/224/3221225674/index.m3u8$黑龙江鸡西移动
CCTV14 少儿,http://tvphp1.rbq.plus/migu.php?id=cctv14
CCTV14 少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8$陕西移动
CCTV14 少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225784/index.m3u8$陕西移动



CCTV15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$黑龙江移动
CCTV15 音乐,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8$黑龙江鸡西移动
CCTV15 音乐,http://39.134.66.2/PLTV/88888888/224/3221225513/index.m3u8$黑龙江鸡西移动
CCTV15 音乐,http://tvphp1.rbq.plus/migu.php?id=cctv15
CCTV15 音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8$陕西移动
CCTV15 音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8$陕西移动



CCTV16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$黑龙江移动
CCTV16 奥林匹克,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8$陕西移动
CCTV16 奥林匹克,http://111.20.40.164/PLTV/88888893/224/3221226921/index.m3u8
CCTV16 奥林匹克,http://111.20.40.160/PLTV/88888893/224/3221226921/index.m3u8



CCTV17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$黑龙江移动
CCTV17 农业农村,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8$黑龙江鸡西移动
CCTV17 农业农村,http://39.134.66.2/PLTV/88888888/224/3221225708/index.m3u8$黑龙江鸡西移动
CCTV17 农业农村,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8$陕西移动
CCTV17 农业农村,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8$陕西移动
CCTV17 农业农村,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226208/index.m3u8$陕西移动
CCTV17 农业农村,http://tvphp1.rbq.plus/migu.php?id=cctv17



中国教育1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8$黑龙江移动
中国教育1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8$陕西移动

中国教育2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8$黑龙江移动
中国教育2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8$陕西移动


中国教育3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8$陕西移动

中国教育4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8$黑龙江移动
中国教育4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8$陕西移动



卫视频道,#genre#


河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8$黑龙江移动
河南卫视,http://39.134.66.110/PLTV/88888888/224/3221225988/index.m3u8


湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8$黑龙江移动
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8$黑龙江移动
湖南卫视,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8$黑龙江鸡西移动
湖南卫视,http://39.134.66.2/PLTV/88888888/224/3221225506/index.m3u8$黑龙江鸡西移动
湖南卫视,http://39.134.65.166/PLTV/88888888/224/3221225506/index.m3u8$黑龙江鸡西移动
湖南卫视,http://39.134.65.181/PLTV/88888888/224/3221225506/index.m3u8$黑龙江鸡西移动
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8$陕西移动
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8$陕西移动



浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8$黑龙江移动
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8$黑龙江移动
浙江卫视,http://39.134.66.2/PLTV/88888888/224/3221225514/index.m3u8$黑龙江鸡西移动
浙江卫视,http://39.134.65.179/PLTV/88888888/224/3221225514/index.m3u8$黑龙江鸡西移动
浙江卫视,http://39.134.65.173/PLTV/88888888/224/3221225514/index.m3u8$黑龙江鸡西移动
浙江卫视,http://39.134.65.175/PLTV/88888888/224/3221225514/index.m3u8$黑龙江鸡西移动
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225514/index.m3u8$黑龙江鸡西移动
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8$黑龙江鸡西移动
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225798/index.m3u8$陕西移动
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8$陕西移动


江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8$黑龙江移动
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8$黑龙江鸡西移动
江苏卫视,http://39.134.66.2/PLTV/88888888/224/3221225503/index.m3u8$黑龙江鸡西移动
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8$陕西移动
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8$陕西移动


北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8$黑龙江移动
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8$黑龙江移动
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225678/index.m3u8$黑龙江鸡西移动
北京卫视,http://39.134.66.2/PLTV/88888888/224/3221225678/index.m3u8$黑龙江鸡西移动
北京卫视,http://39.134.65.179/PLTV/88888888/224/3221225678/index.m3u8$黑龙江鸡西移动
北京卫视,http://39.134.65.164/PLTV/88888888/224/3221225678/index.m3u8$黑龙江鸡西移动
北京卫视,http://39.134.65.166/PLTV/88888888/224/3221225678/index.m3u8$黑龙江鸡西移动
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8$陕西移动
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8$陕西移动


东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8$黑龙江移动
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8$黑龙江移动
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8$陕西移动
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8$陕西移动
